iteration	precision	recall	hits	coverage
0	0.001631	0.001153	163	1.000000
1	0.001331	0.000941	133	1.000000
2	0.001401	0.000990	140	1.000000
3	0.001291	0.000912	129	1.000000
4	0.001241	0.000877	124	1.000000
5	0.001541	0.001089	154	1.000000
6	0.001571	0.001110	157	1.000000
7	0.001381	0.000976	138	1.000000
8	0.001411	0.000997	141	1.000000
9	0.001651	0.001167	165	1.000000
10	0.001451	0.001026	145	1.000000
11	0.001561	0.001103	156	1.000000
12	0.001491	0.001054	149	1.000000
13	0.001451	0.001026	145	1.000000
14	0.001491	0.001054	149	1.000000
15	0.001531	0.001082	153	1.000000
16	0.001451	0.001026	145	1.000000
17	0.001511	0.001068	151	1.000000
18	0.001321	0.000934	132	1.000000
19	0.001501	0.001061	150	1.000000
20	0.001311	0.000927	131	1.000000
21	0.001411	0.000997	141	1.000000
22	0.001341	0.000948	134	1.000000
23	0.001311	0.000927	131	1.000000
24	0.001491	0.001054	149	1.000000
25	0.001511	0.001068	151	1.000000
26	0.001561	0.001103	156	1.000000
27	0.001351	0.000955	135	1.000000
28	0.001371	0.000969	137	1.000000
29	0.001161	0.000820	116	1.000000
30	0.001261	0.000891	126	1.000000
31	0.001411	0.000997	141	1.000000
32	0.001411	0.000997	141	1.000000
33	0.001431	0.001011	143	1.000000
34	0.001571	0.001110	157	1.000000
35	0.001461	0.001033	146	1.000000
36	0.001301	0.000919	130	1.000000
37	0.001421	0.001004	142	1.000000
38	0.001471	0.001040	147	1.000000
39	0.001631	0.001153	163	1.000000
40	0.001371	0.000969	137	1.000000
41	0.001421	0.001004	142	1.000000
42	0.001331	0.000941	133	1.000000
43	0.001491	0.001054	149	1.000000
44	0.001311	0.000927	131	1.000000
45	0.001471	0.001040	147	1.000000
46	0.001461	0.001033	146	1.000000
47	0.001421	0.001004	142	1.000000
48	0.001621	0.001146	162	1.000000
49	0.001381	0.000976	138	1.000000
50	0.001261	0.000891	126	1.000000
51	0.001381	0.000976	138	1.000000
52	0.001421	0.001004	142	1.000000
53	0.001411	0.000997	141	1.000000
54	0.001471	0.001040	147	1.000000
55	0.001391	0.000983	139	1.000000
56	0.001321	0.000934	132	1.000000
57	0.001421	0.001004	142	1.000000
58	0.001461	0.001033	146	1.000000
59	0.001571	0.001110	157	1.000000
60	0.001641	0.001160	164	1.000000
61	0.001501	0.001061	150	1.000000
62	0.001451	0.001026	145	1.000000
63	0.001641	0.001160	164	1.000000
64	0.001321	0.000934	132	1.000000
65	0.001411	0.000997	141	1.000000
66	0.001231	0.000870	123	1.000000
67	0.001181	0.000835	118	1.000000
68	0.001531	0.001082	153	1.000000
69	0.001271	0.000898	127	1.000000
70	0.001581	0.001118	158	1.000000
71	0.001361	0.000962	136	1.000000
72	0.001481	0.001047	148	1.000000
73	0.001601	0.001132	160	1.000000
74	0.001441	0.001018	144	1.000000
75	0.001651	0.001167	165	1.000000
76	0.001561	0.001103	156	1.000000
77	0.001411	0.000997	141	1.000000
78	0.001231	0.000870	123	1.000000
79	0.001281	0.000905	128	1.000000
80	0.001361	0.000962	136	1.000000
81	0.001391	0.000983	139	1.000000
82	0.001451	0.001026	145	1.000000
83	0.001331	0.000941	133	1.000000
84	0.001511	0.001068	151	1.000000
85	0.001431	0.001011	143	1.000000
86	0.001411	0.000997	141	1.000000
87	0.001511	0.001068	151	1.000000
88	0.001441	0.001018	144	1.000000
89	0.001251	0.000884	125	1.000000
90	0.001551	0.001096	155	1.000000
91	0.001491	0.001054	149	1.000000
92	0.001471	0.001040	147	1.000000
93	0.001581	0.001118	158	1.000000
94	0.001381	0.000976	138	1.000000
95	0.001141	0.000806	114	1.000000
96	0.001451	0.001026	145	1.000000
97	0.001421	0.001004	142	1.000000
98	0.001421	0.001004	142	1.000000
99	0.001381	0.000976	138	1.000000
100	0.001481	0.001047	148	1.000000
101	0.001371	0.000969	137	1.000000
102	0.001211	0.000856	121	1.000000
103	0.001491	0.001054	149	1.000000
104	0.001701	0.001202	170	1.000000
105	0.001591	0.001125	159	1.000000
106	0.001351	0.000955	135	1.000000
107	0.001541	0.001089	154	1.000000
108	0.001371	0.000969	137	1.000000
109	0.001251	0.000884	125	1.000000
110	0.001501	0.001061	150	1.000000
111	0.001561	0.001103	156	1.000000
112	0.001311	0.000927	131	1.000000
113	0.001521	0.001075	152	1.000000
114	0.001451	0.001026	145	1.000000
115	0.001261	0.000891	126	1.000000
116	0.001381	0.000976	138	1.000000
117	0.001611	0.001139	161	1.000000
118	0.001281	0.000905	128	1.000000
119	0.001511	0.001068	151	1.000000
120	0.001421	0.001004	142	1.000000
121	0.001431	0.001011	143	1.000000
122	0.001351	0.000955	135	1.000000
123	0.001431	0.001011	143	1.000000
124	0.001491	0.001054	149	1.000000
125	0.001351	0.000955	135	1.000000
126	0.001411	0.000997	141	1.000000
127	0.001391	0.000983	139	1.000000
128	0.001631	0.001153	163	1.000000
129	0.001361	0.000962	136	1.000000
130	0.001391	0.000983	139	1.000000
131	0.001441	0.001018	144	1.000000
132	0.001291	0.000912	129	1.000000
133	0.001511	0.001068	151	1.000000
134	0.001311	0.000927	131	1.000000
135	0.001551	0.001096	155	1.000000
136	0.001451	0.001026	145	1.000000
137	0.001351	0.000955	135	1.000000
138	0.001491	0.001054	149	1.000000
139	0.001501	0.001061	150	1.000000
140	0.001341	0.000948	134	1.000000
141	0.001431	0.001011	143	1.000000
142	0.001481	0.001047	148	1.000000
143	0.001411	0.000997	141	1.000000
144	0.001531	0.001082	153	1.000000
145	0.001441	0.001018	144	1.000000
146	0.001511	0.001068	151	1.000000
147	0.001591	0.001125	159	1.000000
148	0.001401	0.000990	140	1.000000
149	0.001451	0.001026	145	1.000000
150	0.001461	0.001033	146	1.000000
151	0.001341	0.000948	134	1.000000
