Total times: 1142537
Item	Time empty	Estimated value	Time
69992142	644191	0.9999845016282048	1054
77960617	550415	0.999511681488797	1054
86483013	952444	0.9960621739605626	1054
91108501	1050741	0.994813540429069	1053
8883995	1082851	0.9943885477542971	1054
75066331	953123	0.9939269901927898	1054
67619943	1066310	0.9929696197620832	1054
55629131	1096731	0.9854984442158706	1054
79938348	1106657	0.9847651929749974	1053
75943787	1085452	0.9794006263738593	1054
20912871	1072572	0.9766860809633735	1053
61256514	1061849	0.9726625458001195	1054
23372091	1102564	0.969028044675996	1053
90282069	954119	0.9648112353570344	1054
861187	999844	0.9643174203576981	1054
68254523	1115578	0.9577717644112546	1052
6862149	1081222	0.9513556757640691	1054
86255145	1087664	0.9502395373065704	1054
12150665	1135599	0.9497100047310667	1047
11102580	1109443	0.9465738024950093	1054
79318731	1108703	0.9436583603137699	1053
64962419	1070566	0.9433623792393332	1054
13070544	1137677	0.9413576767646703	1049
21926661	1141223	0.9375174977414249	1043
4189327	1070888	0.936696900687305	1054
51245031	972521	0.9273978951382276	1054
62188697	1089727	0.9266674768027803	1053
29056981	1120531	0.9172718862379181	1052
93868746	1129742	0.9108135482468992	1051
84039329	1105851	0.9080891075515742	1053
7854296	1133547	0.9078382254987041	1050
74457421	1107959	0.9044879052098653	1054
33291631	1103506	0.9028961943298519	1052
77682184	1141272	0.9002814566384465	1051
16435287	1123283	0.8986466700229413	1051
70292437	1104459	0.8984704515348504	1050
78580184	1125545	0.8964848609435307	1045
13385260	1124721	0.8911439180556613	1048
57719221	1140042	0.8906261514178628	1045
88991703	1101743	0.8838508766189577	1052
66676859	1130611	0.8800428426846177	1044
77664234	1128997	0.8752063905943797	1049
63336157	1132329	0.87512971312505	1039
2247288	1120281	0.8695072041027831	1052
88304149	1079817	0.8694114080157145	1054
77014514	1129519	0.866077544309827	1048
73357729	1125458	0.8619000461182625	1050
72277601	1043355	0.8617085303815715	1053
71578197	1126535	0.8600667700868575	1051
78745107	1115415	0.8527391823801146	1053
43865151	1009753	0.847611898292908	1054
4157260	1141493	0.8457033634185795	1046
73363564	1129305	0.844245437467227	1048
17410069	1115859	0.8379804010534562	1052
76503289	1127942	0.8325406425949514	1049
72325972	1130753	0.828571994433617	1050
4257083	1118084	0.8285311088912306	1050
65391788	1135075	0.8271836859816563	1050
4250024	1123781	0.8268846581980125	1047
8570739	1116562	0.8252068787370781	1048
17217573	1137316	0.8225187437024836	1043
70823508	1136108	0.8223277153050641	1043
73675971	1140058	0.8209420448329183	1035
1400070	1139718	0.8186668382289873	1047
20590281	1109682	0.8149702549126857	1049
91917646	1105603	0.813488550904498	1050
66302827	1120417	0.8125375532645625	1045
3369711	1141333	0.8100901295069634	1051
70555369	1137948	0.8032288192985417	1047
8979556	1101873	0.8029202440048817	1053
87226779	1120548	0.7993323067237592	1050
79177655	1118242	0.7934921469445221	1048
99677218	1098678	0.7920496489660676	1053
74215323	1138770	0.7899250463311804	1047
74066212	1141088	0.7879299763975656	1046
92169736	1111532	0.7852804102003583	1051
50929511	1134435	0.7834934014974273	1047
89184603	1104256	0.7813965133473282	1050
10737055	1095291	0.7813303828927322	1052
91011063	1129857	0.7760059849463266	1049
74326190	1142047	0.7755894682000104	1046
3302777	1141876	0.7746678590929155	1046
71603224	1139317	0.7735677084459678	1049
67429227	1139363	0.7678327868174262	1047
14954817	1116774	0.7673796373254689	1053
78436103	1123350	0.7669906631367741	1044
6526074	1138613	0.7667689382766141	1046
73184322	1129730	0.7666235065553355	1042
5466246	1127297	0.7656493262917403	1038
16498595	1137335	0.7636886240289305	1045
77023726	1129223	0.7631836686236123	1048
2405183	1134707	0.7630450332175277	1049
76570826	1132117	0.762381917158837	1052
16622424	1139139	0.7597892358904579	1042
7880174	1142077	0.7597820768383159	1043
17380488	1125301	0.7586079782443971	1040
76729905	1118874	0.7583341345456436	1046
63992344	1137011	0.7578323596613941	1044
74173803	1136510	0.7578304112116712	1040
11643845	1133577	0.7578132357449517	1043
86451941	1123101	0.7548829327752351	1044
65845323	1122742	0.7546444847848836	1046
68734298	1131755	0.7525709300331495	1049
64258200	1120203	0.7519836435313894	1046
74035232	1142380	0.7512512281538193	1048
15597432	1138603	0.7424740528744125	1052
66293468	1086086	0.7412813874438161	1054
70045109	1133039	0.739355767954674	1051
85089986	1072679	0.7380699416116976	1053
70292834	1125111	0.7269095025877751	1053
7925568	1130571	0.7227955330195642	1044
69618629	1134861	0.7227854729168985	1049
67751351	1132895	0.7198491776646337	1046
63920967	1142469	0.7187901623548151	1038
9331740	1099739	0.7160115298488765	1049
4096104	1103985	0.7141586575180869	1050
34575991	1084102	0.7124252844405994	1051
11051209	1096167	0.7112570046768207	1054
46219471	1131938	0.7110186759463264	1052
71655629	1102625	0.70813140299498	1052
65126194	1130773	0.7070393624053475	1049
77158575	1128254	0.7060585618055537	1044
84986265	1115737	0.7043433856950886	1049
93970958	1121209	0.7010191993983421	1053
65668966	1069931	0.7007658618141217	1054
9214703	1125923	0.7002275367588773	1048
73388496	1136061	0.6993203230723	1047
64550046	1134330	0.6960454367363482	1046
12123622	1134793	0.6959018744528294	1042
72527358	1133313	0.6954027135852858	1042
16082575	1130114	0.6953278296359845	1043
16053451	1116643	0.692340707164188	1054
15148124	1130589	0.69195667413333	1047
2926402	1110937	0.6919556580863174	1047
62019639	1139562	0.6892774904180947	1045
77810916	1133897	0.6885083394754711	1045
46725701	1115500	0.6876632261663456	1051
2323940	1134727	0.6815247400118217	1050
52503871	1089381	0.680805463985966	1052
98104668	1129707	0.6799890414055629	1048
1125208	1129839	0.6799404062767282	1050
62742762	1126599	0.6797142607001687	1049
15036397	1048697	0.6769825551295681	1054
65850520	1137134	0.6747946700186244	1052
13550230	1141861	0.6739382755206214	1047
53489001	1140976	0.6721196810576959	1041
72875132	1140353	0.6720429811273612	1048
16878842	1098505	0.6708470557839779	1053
76068551	1114303	0.6705756133755014	1054
72581182	1091721	0.6675604213191045	1051
70563713	1127281	0.6645986342755392	1041
82492738	1141332	0.664123568720699	1038
71379069	1122502	0.6631688329125796	1049
80593378	1117314	0.6613774319996542	1048
71840449	1135972	0.6601717567836138	1043
10287363	1118520	0.6584521030496422	1045
13679251	1135526	0.6569004361535924	1044
73009950	1121545	0.6565094152622932	1047
536440	1128514	0.6525600868483064	1045
17165097	1141469	0.6494315863009775	1036
91940648	1130615	0.6485683327343522	1046
70077941	1108554	0.6473420865484137	1051
2287585	1134572	0.645863888875595	1053
9597446	1140826	0.6455078200425536	1047
21926321	1112546	0.6428234059135554	1049
13471586	1099860	0.6421233040657655	1051
75249221	1138355	0.6418577437896147	1043
11016852	1135236	0.6417970857007039	1044
74396670	1133514	0.636718750495719	1046
4967715	1122110	0.6312766904097489	1050
12734529	1137561	0.6298859717032957	1043
72462639	1117768	0.6281909950814755	1051
11130036	1109570	0.6280339498878327	1050
72935484	1128533	0.6271488709992543	1040
81899946	1132340	0.6270189817451595	1044
3411439	1138484	0.626313461479242	1040
68221676	1127437	0.6261907820957825	1046
78077516	1142064	0.6255073706028986	1038
8307491	1138210	0.625039116028347	1041
71173042	1108315	0.625011474010762	1046
4678105	1134896	0.6239091765210261	1051
71350313	1124482	0.6142703387910807	1047
14491576	1027966	0.6139421057591027	1053
6081186	1142360	0.6103572847860281	1044
17801250	1102587	0.6072218420550095	1052
16256608	1139362	0.5979025535093571	1045
82925846	1134682	0.5961962754649908	1048
33357171	1129427	0.5938153828138377	1041
4729155	1141049	0.5906506677304576	1048
54445651	1096853	0.5868209312029741	1052
66237014	1069593	0.584291270460296	1048
61898421	1120274	0.5822306058849347	1050
16397274	1120194	0.5821578368213562	1042
62343841	1138228	0.5806696683253942	1047
2586286	1134501	0.5802317615853689	1045
13421009	1140683	0.5795903295220378	1048
72718191	1133231	0.5793291095859547	1046
17460500	1105503	0.5777002571858371	1051
43957041	1121109	0.5771678742610798	1050
