Total times: 1142537
Item	Time empty	Estimated value	Time
68344627	1130459	0.9968870411956556	1046
16053451	1132343	0.9948389227131429	1049
5667620	1123026	0.9936663939274744	1043
75997659	1139266	0.9930269080801182	1035
4189327	1116795	0.9892403028787555	1044
5563439	1135696	0.9826038497269112	1042
75066331	1119565	0.9824218142746107	1040
16878842	1134435	0.9813305751028805	1037
69992142	1140845	0.9804687480791436	1048
67619943	1141220	0.9713491169882685	1040
66676859	1126561	0.9709712045683738	1035
66295263	1137250	0.9697288703865249	1038
41773241	1114295	0.9691105326648106	1046
25671361	1134184	0.9658418393809736	1039
84039329	1122617	0.9655835932866867	1048
58484831	1136581	0.9642979182748582	1044
83930047	1139223	0.9607958434640976	1044
80933110	1141052	0.9589936225682021	1046
65850520	1131151	0.9586781149516739	1046
90282069	1123666	0.9529266047016999	1046
93970958	1141772	0.9528455633450972	1045
68734298	1141375	0.9521833088543211	1039
15792789	1131606	0.9504710703732553	1047
78907413	1140817	0.9486261064961936	1046
75463284	1120134	0.9470844456466314	1040
66985565	1113537	0.9462917228552832	1041
86483013	1111911	0.9342000133618441	1050
76551964	1135565	0.9230960048794916	1046
4096104	1136374	0.9203415557340326	1043
71379069	1137616	0.9131104974394705	1042
77603443	1141827	0.9086020165198186	1045
17084042	1113606	0.9076235049989277	1046
74738131	1107044	0.9062996675784261	1047
16622424	1137031	0.9033813628052485	1050
73357729	1139894	0.9030490473077321	1049
4517211	1142325	0.9012835787920077	1047
80962504	1114105	0.898689278781239	1044
78361807	1110341	0.8951839369070752	1036
4119245	1133840	0.8937423904765365	1044
4940699	1130497	0.8908691409762304	1039
62315343	1138293	0.8860179791600018	1044
4343780	1102783	0.883976007056086	1045
76993066	1115319	0.8828129789471931	1044
51245031	1138604	0.8827802817647112	1045
13148373	1132894	0.8814443462704925	1045
1400070	1140678	0.8814320776111267	1046
82264336	1108546	0.8799152398282812	1044
88385813	1114851	0.8759975545690974	1043
72277601	1133044	0.87581846996507	1043
23527011	1096842	0.8751832289962077	1049
13070544	1118399	0.865029449143413	1041
4954825	1142434	0.8602709615960458	1046
81863242	1138094	0.847527165047133	1044
75735062	1126831	0.844820509391869	1045
13550230	1126411	0.839878172760796	1045
65391788	1131046	0.82975354050401	1044
91108501	1142101	0.8276429299104425	1039
15123380	1135301	0.8243733221898468	1047
82138970	1135945	0.821913134678612	1040
9702723	1095809	0.8217854651156837	1044
65155203	1136098	0.8204959072465069	1044
70045109	1132809	0.819967086750625	1039
70962170	1114912	0.8184361477760975	1050
79177655	1139031	0.817021109341229	1040
73549639	1138219	0.8169801384231098	1046
14440304	1139623	0.8165963115717008	1044
12650242	1141581	0.8145275116569888	1043
7747321	1142132	0.8140936229632232	1045
6154428	1132225	0.8125458962804283	1047
7584125	1142234	0.8125000223885923	1045
5600091	1139838	0.8008059645326027	1045
66237014	1138214	0.8003169727220232	1044
5673785	1134103	0.7999749310611599	1042
4729155	1140913	0.7997408464958666	1043
16995428	1131086	0.7990534902252199	1041
85205712	1129249	0.7977969049763003	1045
87623241	1126322	0.7970428559389297	1045
63720689	1107109	0.7930476032522853	1048
73854012	1125845	0.7916452165499431	1043
68670357	1140100	0.7906762392027993	1047
83063136	1141955	0.7891088195043414	1042
13421009	1122899	0.7890704243404838	1042
78278329	1118747	0.7871781972584484	1046
91145851	1128449	0.7856469787658362	1045
75249221	1104918	0.7832031252337428	1049
72549866	1089910	0.7824101845254248	1043
80947484	1135323	0.7818608901580024	1043
12985555	1131035	0.7813019820315309	1045
8647650	1125286	0.7741732204913315	1046
72269660	1135814	0.7738355068549088	1042
57719221	1126725	0.7729654982706875	1045
87904287	1137426	0.7696283019617716	1045
16960561	1141721	0.7696160272051069	1046
4250024	1122401	0.7695942867886798	1048
64126400	1120795	0.7695331582801339	1042
80492204	1075704	0.7669835093515331	1037
13749961	1139051	0.7599792806509015	1040
72756274	1129176	0.7598573046285556	1045
23540241	1130755	0.7588505745970984	1043
49553651	1134644	0.7582011225314003	1046
12343704	1127471	0.7580435202596647	1040
2609199	1120427	0.7573559309103979	1046
87926321	1120388	0.7558593752628475	1044
87226779	1135287	0.7557352500828145	1041
37563911	1135344	0.7554131150263883	1044
63590356	1138664	0.7553836272040586	1040
85324704	1139753	0.7550175786202709	1042
90052073	1132984	0.754276237112667	1047
66181073	1137100	0.7539458424208096	1042
16082575	1136505	0.7532355902408212	1045
68058194	1130227	0.7521362318670981	1046
78802486	1137818	0.7519532591143447	1047
4678105	1118905	0.751606944916283	1038
61776943	1141086	0.7512905771975855	1037
16762601	1140410	0.7510797995796146	1048
75401504	1138470	0.7510390319148825	1046
74173803	1117385	0.7509784736030536	1044
78446434	1137064	0.7507354022254769	1043
68220174	1129184	0.7507333915013996	1046
2481288	1140956	0.7503053005971267	1044
70625832	1141966	0.7501088665256133	1043
50405761	1136430	0.7501072892920462	1044
9103959	1087736	0.7500915602726081	1040
84922427	1141403	0.7500615213066342	1041
5466246	1137029	0.7500189587086655	1046
94914090	1127335	0.7500027587740874	1044
75851194	1131090	0.7500000642797249	1041
67758791	1135892	0.7500000037289292	1046
11102580	1099234	0.7466294269001057	1047
72581182	1140152	0.7460344559204384	1043
70463099	1132915	0.7458515359281225	1046
85017611	1136582	0.744933851059348	1041
16169324	1129035	0.737183299203319	1044
90546071	1128810	0.7276649922299578	1040
13509734	1137152	0.7208252466447834	1054
10737055	1141868	0.7204262750311936	1047
80619478	1113510	0.7204018906125597	1044
71603224	1141742	0.7188519542116092	1040
81899946	1110107	0.7168031134647563	1042
69180862	1134873	0.714921906025511	1047
