Total times: 1141483
Item	Time empty	Estimated value	Time
71379069	0	0.8446139884994963	1050
73357729	0	0.8690963833990424	1051
71876015	0	0.8111248610661047	1050
16762601	0	0.7268636975430594	1049
74863964	0	0.7797945700897183	1050
71418484	0	0.8680962888722777	1052
69992142	1120069	0.4799434723506547	1045
14931763	0	0.6998547221741159	1049
71840449	0	0.799147479043197	1051
17801250	0	0.7390497230836913	1050
80962504	0	0.6045586802378505	1048
73399731	1121023	0.35659519124228484	1044
83930047	0	0.7387996613744164	1051
89160781	0	0.8475082426824451	1053
71152082	0	0.45467756340211346	1046
65126194	0	0.6170381676977157	1049
66541060	1094185	0.3945239316030836	1045
74911301	1100498	0.2278472021350749	1042
12119896	0	0.6075548777230205	1049
84063179	1124837	0.05210055407638029	1039
78780122	0	0.547625498031232	1048
69841660	0	0.5467115214778125	1048
17964785	1127201	0.4358744738692493	1046
81791220	1107941	0.04730846229050121	1039
78468571	1130113	0.21132106109930332	1042
55007601	1128029	0.3721074334931011	1045
1869815	1121112	0.36878591636636454	1045
75764632	0	0.5880504622223381	1049
8192953	1131580	0.36590427685635957	1045
78361807	1132634	0.3611496469640588	1045
1118030	1128366	0.5793825807536468	1049
72527358	1127329	0.46849937483128323	1047
7925568	0	0.5763189676776516	1049
78695208	1130714	0.13328882975115394	1041
70045109	1093331	0.4616158294375375	1047
89414147	1127345	0.12637496235438106	1041
64384132	1132424	0.12184488584351492	1041
71614478	1118864	0.34213899202360915	1045
81024170	1124303	0.11962786279236252	1041
80947484	1131558	0.17466111524846864	1042
82548950	1112011	0.06181987367247638	1040
1103326	1117613	0.3938212554350279	1046
5673785	1127376	0.22446143409452612	1043
8570739	1087953	0.05484848601205659	1040
93970958	1121043	0.21980344591570777	1043
72277601	1131589	0.21770821623349143	1043
1125208	1115748	0.3278501298349137	1045
16256608	1134337	0.047660444801556574	1040
37563911	1130498	0.2690815973125336	1044
11335416	1127361	0.21228566872136342	1043
71179576	1096174	0.4876718403108324	1048
10524260	0	0.04337423204595527	1040
72759996	1096703	0.20809027448527712	1043
72787889	1131907	0.09519178997702109	1041
77273513	1130145	0.2059442939835393	1043
69946823	1109331	0.4264707745864273	1047
2481288	1113354	0.035220098734517105	1040
5999869	1127234	0.47705168391001995	1048
46219471	0	0.4760543061357691	1048
8198424	1132714	0.4205257172284952	1047
76503289	1123921	0.25416229499308424	1044
90117913	1097590	0.029694825374004766	1040
62297140	1125292	0.19577607726707502	1043
2609199	1125342	0.47142534761677135	1048
62188697	1125503	0.416082588266713	1047
87926321	1132387	0.194533551703912	1043
6862149	1105934	0.1935007843395519	1043
4189327	1133583	0.2453883957140417	1044
64813415	1124999	0.46611367228006784	1048
99677218	1123096	0.30037159101666067	1045
22299021	1099986	0.30035484153181574	1045
75997659	0	0.7395487436126946	1053
89071893	1135532	0.18775898685845602	1043
79962226	1104584	0.07444769262777941	1041
90714907	0	0.625826762703355	1051
85017611	1108204	0.2398866745522293	1044
77586629	0	0.6800412997471705	1052
70977719	1128864	0.07195870275359596	1041
68788868	1112590	0.348844884062313	1046
9159424	0	0.45821550642627057	1048
11102580	0	0.4026378258750794	1047
63590356	0	0.7845822750213889	1054
74770835	1120137	0.12363602407666974	1042
7444285	0	0.5633679378191118	1050
4096104	0	0.28770379969303644	1045
77682184	1125320	0.39781601968279107	1047
82900774	0	0.5627247859140156	1050
58484831	1134587	0.39700211967732785	1047
94436884	1134168	0.06397824015546016	1041
65443904	1121603	0.22970108933040848	1044
13679251	1122986	0.17416017640342848	1043
89827469	1116928	0.1739646255037146	1043
6132153	1134629	0.39380425694346655	1047
74250587	1124263	0.22762020245377404	1044
60878713	1125686	0.05874911711533262	1041
10188258	0	0.22455376784280975	1044
15136498	1133454	0.3896008011895273	1047
71100142	0	0.11228233088754772	1042
71708675	1128980	0.055580647244299265	1041
8524489	1131424	0.16573964824253654	1043
71142799	1133637	0.10963115027900605	1042
79318731	1124903	0.38579978094951833	1047
8247183	1132620	0.33000121053253617	1046
81508148	1118478	0.2192231063780693	1044
71148057	1127012	0.10825632534023119	1042
3666919	1129557	0.10724261058838792	1042
67582502	1130488	0.16269173598635536	1043
73203277	1128118	0.43875597708941805	1048
72756274	1118712	0.32831210507371683	1046
68220174	1135387	0.05120076683226541	1041
4940699	1129057	0.049386829811661585	1041
13085516	1135719	0.1602813700143979	1043
84986265	1095360	0.21543156081381615	1044
15447602	1134724	0.16000699128981982	1043
7541920	1122877	0.10452286840574967	1042
84768993	1127209	0.2151512627921042	1044
13550230	1133485	0.15857112454332126	1043
65301357	1115380	0.04712090796402479	1041
67589109	1136833	0.2686522431895371	1045
77014514	1125610	0.10117337689960562	1042
70151784	1122764	0.044265532800273344	1041
17217573	1122992	0.43127653234982427	1048
75372277	1129021	0.21023575334437256	1044
78802486	1110075	0.04351504173889867	1041
94636848	1111469	0.3754583915329218	1047
70366909	1137896	0.0962489477696497	1042
